species_name_,FAO group code,id,common_name_crop,species_name,species_name_taxonstand_,genus,sps,family,order,gf,wild_progenitor,sources_wild_progenitor,minimum_time_cultivation,minimum_time_domestication,sources_minimum_time_cultivation_domestication,filter_data_antiquity,use_food,use_animal_feed,use,use_primary,sources_use,number_gbif_records,filter_ocurr_gbif,sd_longitude,sd_latitude,mode_ecoreg_code,biogeografic_realm,mode_ecoreg_name,mode_ecoreg_centroid_lon,mode_ecoreg_centroid_lat,median_BIO1,median_BIO2,median_BIO3,median_BIO4,median_BIO5,median_BIO6,median_BIO7,median_BIO8,median_BIO9,median_BIO10,median_BIO11,median_BIO12,median_BIO13,median_BIO14,median_BIO15,median_BIO16,median_BIO17,median_BIO18,median_BIO19,cv_BIO1,cv_BIO2,cv_BIO3,cv_BIO4,cv_BIO5,cv_BIO6,cv_BIO7,cv_BIO8,cv_BIO9,cv_BIO10,cv_BIO11,cv_BIO12,cv_BIO13,cv_BIO14,cv_BIO15,cv_BIO16,cv_BIO17,cv_BIO18,cv_BIO19,FAO commodity group,Family,Authority,Notes
Citrus_medica,512,217,Citron,Citrus medica,Citrus_medica_L.,Citrus,medica,Rutaceae,Sapindales,woody,Citrus_medica_L.,14,6000,4000,4,1,1,0,fruit_flower,fruit_flower,4,118,1,6.329406212,8.220136634,IM0137,Indo_malay,Northern Indochina Subtropical Forests,100.7282662,22.18500201,204,88,45,4258,304,92,217,251,163,257,148,1518,297,15,78,821,62,683,69,21.81389733,20.90100063,29.90082465,43.57906286,12.49259188,76.01812696,23.19888283,13.49107134,39.73034399,14.43958529,41.15100318,31.81542635,27.45071746,118.5652961,21.49941498,27.6692736,108.8301823,29.42955723,155.3916802,"Fruit, citrus nes",Rutaceae,L.,FAO lists this is Citrus medica var. cedrata
Cola_nitida,224,232,Cola,Cola nitida,Cola_nitida_(Vent.)_Schott_&_Endl.,Cola,nitida,Malvaceae,Malvales,woody,Cola_nitida_(Vent.)_Schott_&_Endl.,90,5500,850,4,1,1,0,seed,seed,4,278,1,6.615398954,1.95427373,AT0707,Afrotropic,Guinean Forest-Savanna Mosaic,-1.44104815,8.87510659,263,88,72,1083,327,211,117,262,267,277,248,1610,288,18,63,659.5,98,299,338,6.625384632,21.53803782,6.454882207,27.45624004,6.774709379,12.53531899,25.21423632,7.659945663,7.143064408,7.220172238,6.306091587,40.28480087,49.51348177,67.74803637,26.05067552,51.68199815,53.51992499,40.31813905,94.50795091,Kola nuts,Malvaceae,(Vent.) A. Chev. ,FAO also lists the synonym Cola vera K.Schum
Cydonia_oblonga,523,270,Quince,Cydonia oblonga,Cydonia_oblonga_Mill.,Cydonia,oblonga,Rosaceae,Rosales,woody,Cydonia_oblonga_Mill.,4,3000,2500,4,1,1,0,fruit_flower,fruit_flower,4,12,1,6.390917131,3.873893784,PA1207,Palearctic,Eastern Mediterranean Conifer-Sclerophyllous-Broadleaf Forests,37.42596125,35.80179351,164,98.5,36.5,6196.5,311.5,41,267.5,103,248,252,85,722.5,149,2,90,403.5,15.5,16,384.5,20.15233691,13.23812515,13.98805878,13.53913402,9.470290346,113.8629386,9.731965382,30.13671076,31.29261613,11.18923103,51.25131225,38.65759231,45.21005327,181.4955393,51.25364235,45.68141164,161.8454788,156.5397503,49.28044454,Quinces,Rosaceae,Mill.,FAO also lists synonym Cydonia vulgaris Pers.
Digitaria_iburua,94,285,Black fonio,Digitaria iburua,Digitaria_iburua_Stapf,Digitaria,iburua,Poaceae,Poales,graminoid,Digitaria_ternata_(A.Rich.)_Stapf,90,NA,NA,NA,0,1,0,seed,seed,90,12,1,4.921682294,2.545511379,AT0713,Afrotropic,Sahelian Acacia Savanna,14.84274128,14.77331045,269.5,132,63,1841.5,360.5,177.5,208.5,260.5,256.5,295,242.5,885,246,0,103,582.5,1,170,94,11.99327195,16.45959826,10.00200984,39.81077978,12.3928035,24.63280576,22.60818993,11.48273759,11.8858937,13.40054801,11.09877336,35.80672119,15.90255434,244.7216434,24.30035283,23.18976226,217.0534595,61.27248577,111.3216001,Fonio,Poaceae,Stapf,NA
Dioscorea_bulbifera,137,289,Air_potato,Dioscorea bulbifera,Dioscorea_bulbifera_L.,Dioscorea,bulbifera,Dioscoreaceae,Dioscoreales,herb,Dioscorea_bulbifera_L.,90,NA,NA,NA,0,1,0,shoot,shoot,90,237,1,26.19067341,6.413852583,AT0114,Afrotropic,Guinean Montane Forests,-10.8920904,10.09738065,238,130,69,1100,338,139,197,244,228,258,225,2043,420,17,64,964,120,511,209,9.046712808,24.23748544,8.219121095,52.526653,5.114649018,29.54510131,25.3903859,9.423577176,12.38736838,9.24792701,9.681447634,36.31927831,37.82604784,119.2781821,18.59173269,38.78201513,68.97465631,50.82783226,50.15789924,Yams,Dioscoreaceae,L.,NA
Dioscorea_dumetorum,137,291,African_bitter_yam,Dioscorea dumetorum,Dioscorea_dumetorum_(Kunth)_Pax,Dioscorea,dumetorum,Dioscoreaceae,Dioscoreales,herb,Dioscorea_dumetorum_(Kunth)_Pax,90,NA,NA,NA,0,1,0,root,root,90,397,1,13.12600378,8.525164274,AT0722,Afrotropic,West Sudanian Savanna,-0.93016892,11.85690563,267,116,67,1463,358,182,176,253,265,286,247,1126,243,2,85,638,15,178,410,9.995820874,17.81668343,8.798183081,32.71441582,10.07570061,20.33837627,22.87991827,7.787120108,13.37173384,10.19889919,12.07125076,26.92005508,21.3006893,149.0642423,24.27483591,20.44882373,125.340734,66.41399549,76.83309252,Yams,Dioscoreaceae,(Kunth) Pax ,NA
Dioscorea_esculenta,137,292,Lesser_yam,Dioscorea esculenta,Dioscorea_esculenta_(Lour.)_Burkill,Dioscorea,esculenta,Dioscoreaceae,Dioscoreales,herb,Dioscorea_esculenta_(Lour.)_Burkill,90,NA,NA,NA,0,1,0,root,root,90,27,1,11.49734032,5.523537261,IM0202,Indo_malay,Central Indochina Dry Forests,103.3078378,15.47459579,266,108,56,2047,352,157,187,272,244,287,234,1181,266,5.5,76,658.5,33,342,42,7.152945978,20.55619905,23.74159595,59.25769386,8.503715792,21.64126772,27.7367115,3.70192181,14.01217303,5.027470067,15.59820458,47.29140852,40.45546147,159.895254,33.6511862,45.53974603,146.0201354,84.65920984,151.065168,Yams,Dioscoreaceae,(Lour.) Burkill ,NA
Diospyros_kaki,587,303,Persimmon,Diospyros kaki,Diospyros_kaki_L.f.,Diospyros,kaki,Ebenaceae,Ericales,woody,"Diospyros_kaki_L.f.,Diospyros_glandulosa_Lace,Diospyros_oleifera_W.C.Cheng",439,5300,2000,4,1,1,0,multifood_rep&veg,fruit_flower,4,72,1,11.63064473,6.508539681,IM0118,Indo_malay,Jian Nan Subtropical Evergreen Forests,114.0761892,26.02030872,198,87.5,32,6374.5,319.5,60,266,231,128,260.5,112.5,1555.5,283.5,34,65,746,129.5,573,175,16.62504246,17.77814665,34.49182131,50.36824967,9.231602785,73.56884172,20.2281392,8.99538541,41.06363268,9.289165988,46.963477,32.79093959,47.92328444,70.98893464,22.82918791,43.13373745,62.5347947,34.39941721,56.23666817,Persimmons,Ebenaceae,L. f. ,NA
Diospyros_virginiana,587,307,American_persimmon,Diospyros virginiana,Diospyros_virginiana_L.,Diospyros,virginiana,Ebenaceae,Ericales,woody,Diospyros_virginiana_L.,90,NA,NA,NA,0,1,0,fruit_flower,fruit_flower,90,488,1,7.610414437,3.50423059,"NA0414",Nearctic,Piedmont,-81.23455988,35.33075627,152,124,37,7730,318,-20,340,223,109,248,51,1149,126,72,17,335,241,311,259,19.91857548,8.608667138,11.64497129,14.10538718,5.551231653,315.8312136,10.45396858,28.8267226,74.75512991,7.795522858,80.47971512,14.81364642,20.46810485,19.87845136,49.91273027,20.23002143,18.64104105,25.26640714,28.20352954,Persimmons,Ebenaceae,L.,NA
Garcinia_mangostana,603,362,Mangosteen,Garcinia mangostana,Garcinia_mangostana_L.,Garcinia,mangostana,Clusiaceae,Malpighiales,woody,"Garcinia_celebica_L.,Garcinia_malaccensis_Hook.f._ex_T.Anderson",90,NA,NA,NA,0,1,0,fruit_flower,fruit_flower,128,10,1,7.840149485,2.603579169,IM0146,Indo_malay,Peninsular Malaysian Rain Forests,102.308,3.936999,271,92,85,415,327,213,108,267,269,277,267,2120,280,100,29,746,342,519,601,11.92121211,10.80460265,5.421597221,18.49703599,11.24338491,13.98816031,13.76802498,11.95730587,11.99523229,11.75285341,12.32929121,14.75254276,24.85375298,33.57012922,39.74887829,23.86074127,29.50673819,14.20638562,34.70938167,"Fruit, tropical fresh nes",Clusiaceae,L.,NA
