taxon	Feature ID	Taxon
(Cyprinus carpio 'mirror' x Cyprinus carpio 'singuonensis') x Carassius auratus red var.	NC_031807.1	Eukaryota;Chordata;Actinopteri;Cypriniformes;NA;NA;(Cyprinus carpio 'mirror' x Cyprinus carpio 'singuonensis') x Carassius auratus red var.;NA
Abalistes stellatus	AY700248.1	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Balistidae;Abalistes;Abalistes stellatus;NA
Abramis brama	NC_020356.1	Eukaryota;Chordata;Actinopteri;Cypriniformes;Leuciscidae;Abramis;Abramis brama;NA
Abramis brama orientalis	KC894466.1	Eukaryota;Chordata;Actinopteri;Cypriniformes;Leuciscidae;Abramis;Abramis brama;Abramis brama orientalis
Abudefduf saxatilis	AF285920.1	Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Abudefduf;Abudefduf saxatilis;NA
Abudefduf septemfasciatus	FJ616294.1	Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Abudefduf;Abudefduf septemfasciatus;NA
Abudefduf septemfasciatus	LC589608.1	Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Abudefduf;Abudefduf septemfasciatus;NA
Abudefduf sordidus	AF436879.1	Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Abudefduf;Abudefduf sordidus;NA
Abudefduf sordidus	FJ616296.1	Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Abudefduf;Abudefduf sordidus;NA
Acanthistius ocellatus	AY949421.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Acanthistius;Acanthistius ocellatus;NA
Acanthocybium solandri	AP012945.1	Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Acanthocybium;Acanthocybium solandri;NA
Acanthocybium solandri	PP032949.1	Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Acanthocybium;Acanthocybium solandri;NA
Acantholabrus palloni	KY815234.1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Acantholabrus;Acantholabrus palloni;NA
Acanthopagrus schlegelii	NC_018553.1	Eukaryota;Chordata;Actinopteri;Spariformes;Sparidae;Acanthopagrus;Acanthopagrus schlegelii;NA
Acanthopagrus schlegelii x Pagrus major	NC_040957.1	Eukaryota;Chordata;Actinopteri;Spariformes;Sparidae;NA;Acanthopagrus schlegelii x Pagrus major;NA
Acanthostracion polygonius	AY700273.1	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Ostraciidae;Acanthostracion;Acanthostracion polygonius;NA
Acanthostracion polygonius	KT600930.1	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Ostraciidae;Acanthostracion;Acanthostracion polygonius;NA
Acanthostracion quadricornis	AY700275.1	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Ostraciidae;Acanthostracion;Acanthostracion quadricornis;NA
Acanthurus achilles	OP035106.1	Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus achilles;NA
Acanthurus chirurgus	OP056937.1	Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus chirurgus;NA
Acanthurus coeruleus	OP035153.1	Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus coeruleus;NA
Acanthurus dussumieri	OP035072.1	Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus dussumieri;NA
Acanthurus nigrofuscus	OP035282.1	Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus nigrofuscus;NA
Acanthurus olivaceus	OP035305.1	Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus olivaceus;NA
Acanthurus triostegus	NC_065340.1	Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus triostegus;NA
Acanthurus xanthopterus	AF055607.1	Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus xanthopterus;NA
Achoerodus viridis	AY279574.1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Achoerodus;Achoerodus viridis;NA
Acipenser baerii	NC_017603.1	Eukaryota;Chordata;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;Acipenser baerii;NA
Acipenser dabryanus	NC_005451.1	Eukaryota;Chordata;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;Acipenser dabryanus;NA
Acipenser dabryanus x Acipenser schrenckii	NC_036420.1	Eukaryota;Chordata;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;Acipenser dabryanus x Acipenser schrenckii;NA
Acipenser fulvescens	AF125595.2	Eukaryota;Chordata;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;Acipenser fulvescens;NA
Acipenser fulvescens	NC_030325.1	Eukaryota;Chordata;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;Acipenser fulvescens;NA
Acipenser gueldenstaedtii	KJ789859.1	Eukaryota;Chordata;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;Acipenser gueldenstaedtii;NA
Acipenser gueldenstaedtii	NC_012576.1	Eukaryota;Chordata;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;Acipenser gueldenstaedtii;NA
Acipenser gueldenstaedtii x Acipenser baerii	NC_036675.1	Eukaryota;Chordata;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;Acipenser gueldenstaedtii x Acipenser baerii;NA
Acipenser medirostris	AF125598.2	Eukaryota;Chordata;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;Acipenser medirostris;NA
Acipenser medirostris	NC_028405.1	Eukaryota;Chordata;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;Acipenser medirostris;NA
Acipenser nudiventris	NC_030344.1	Eukaryota;Chordata;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;Acipenser nudiventris;NA
Acipenser oxyrinchus	NC_028290.1	Eukaryota;Chordata;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;Acipenser oxyrinchus;NA
Acipenser oxyrinchus desotoi	AF125600.2	Eukaryota;Chordata;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;Acipenser oxyrinchus;Acipenser oxyrinchus desotoi
Acipenser oxyrinchus desotoi	KP997218.1	Eukaryota;Chordata;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;Acipenser oxyrinchus;Acipenser oxyrinchus desotoi
Acipenser oxyrinchus oxyrinchus	AF125599.2	Eukaryota;Chordata;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;Acipenser oxyrinchus;Acipenser oxyrinchus oxyrinchus
Acipenser oxyrinchus oxyrinchus	KP997217.1	Eukaryota;Chordata;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;Acipenser oxyrinchus;Acipenser oxyrinchus oxyrinchus
Acipenser ruthenus	NC_022453.1	Eukaryota;Chordata;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;Acipenser ruthenus;NA
Acipenser schrenckii	KC820796.1	Eukaryota;Chordata;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;Acipenser schrenckii;NA
Acipenser schrenckii	NC_021757.1	Eukaryota;Chordata;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;Acipenser schrenckii;NA
Acipenser schrenckii x Huso dauricus	NC_027522.1	Eukaryota;Chordata;Actinopteri;Acipenseriformes;Acipenseridae;NA;Acipenser schrenckii x Huso dauricus;NA
Acipenser stellatus	NC_005795.1	Eukaryota;Chordata;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;Acipenser stellatus;NA
Acipenser stellatus ssp. 'stellatus cyrensis'	MK213064.2	Eukaryota;Chordata;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;Acipenser stellatus;Acipenser stellatus ssp. 'stellatus cyrensis'
Acipenser transmontanus	AF125597.2	Eukaryota;Chordata;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;Acipenser transmontanus;NA
Acipenser transmontanus	NC_004743.1	Eukaryota;Chordata;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;Acipenser transmontanus;NA
Aesopia cornuta	AP006043.1	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Soleidae;Aesopia;Aesopia cornuta;NA
Aethaloperca rogaa	NC_022141.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Aethaloperca;Aethaloperca rogaa;NA
Aetobatus narinari	KX151649.1	Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Aetobatus;Aetobatus narinari;NA
Agonostomus catalai	KF374950.1	Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae;Agonostomus;Agonostomus catalai;NA
Agonostomus monticola	NC_017876.1	Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae;Agonostomus;Agonostomus monticola;NA
Ailia coila	NC_046497.1	Eukaryota;Chordata;Actinopteri;Siluriformes;Ailiidae;Ailia;Ailia coila;NA
Albatrossia pectoralis	AB018230.1	Eukaryota;Chordata;Actinopteri;Gadiformes;Macrouridae;Albatrossia;Albatrossia pectoralis;NA
Albula vulpes	NC_082992.1	Eukaryota;Chordata;Actinopteri;Albuliformes;Albulidae;Albula;Albula vulpes;NA
Albunea catherinae	JN800510.1	Eukaryota;Arthropoda;Malacostraca;Decapoda;Albuneidae;Albunea;Albunea catherinae;NA
Alces alces	NC_020677.1	Eukaryota;Chordata;Mammalia;Artiodactyla;Cervidae;Alces;Alces alces;NA
Alces alces cameloides	KP405229.1	Eukaryota;Chordata;Mammalia;Artiodactyla;Cervidae;Alces;Alces alces;Alces alces cameloides
Aldrichetta forsteri	NC_017879.1	Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae;Aldrichetta;Aldrichetta forsteri;NA
Alectis ciliaris	NC_025566.1	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Alectis;Alectis ciliaris;NA
Alectura lathami	AY274004.1	Eukaryota;Chordata;Aves;Galliformes;Megapodiidae;Alectura;Alectura lathami;NA
Alectura lathami	NC_007227.1	Eukaryota;Chordata;Aves;Galliformes;Megapodiidae;Alectura;Alectura lathami;NA
Alligator mississippiensis	NC_001922.1	Eukaryota;Chordata;NA;Crocodylia;Alligatoridae;Alligator;Alligator mississippiensis;NA
Alligator sinensis	AF511507.1	Eukaryota;Chordata;NA;Crocodylia;Alligatoridae;Alligator;Alligator sinensis;NA
Alligator sinensis	DQ283319.1	Eukaryota;Chordata;NA;Crocodylia;Alligatoridae;Alligator;Alligator sinensis;NA
Allocyttus niger	NC_004398.1	Eukaryota;Chordata;Actinopteri;Zeiformes;Oreosomatidae;Allocyttus;Allocyttus niger;NA
Alopias pelagicus	NC_022822.1	Eukaryota;Chordata;Chondrichthyes;Lamniformes;Alopiidae;Alopias;Alopias pelagicus;NA
Alopias superciliosus	AF447987.1	Eukaryota;Chordata;Chondrichthyes;Lamniformes;Alopiidae;Alopias;Alopias superciliosus;NA
Alopias superciliosus	NC_021443.1	Eukaryota;Chordata;Chondrichthyes;Lamniformes;Alopiidae;Alopias;Alopias superciliosus;NA
Alopias vulpinus	NC_049866.1	Eukaryota;Chordata;Chondrichthyes;Lamniformes;Alopiidae;Alopias;Alopias vulpinus;NA
Alosa aestivalis	NC_037017.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Alosa;Alosa aestivalis;NA
Alosa alabamae	NC_028275.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Alosa;Alosa alabamae;NA
Alosa alosa	NC_009575.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Alosa;Alosa alosa;NA
Alosa chrysochloris	DQ912046.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Alosa;Alosa chrysochloris;NA
Alosa fallax	MN122939.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Alosa;Alosa fallax;NA
Alosa mediocris	NC_037016.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Alosa;Alosa mediocris;NA
Alosa pseudoharengus	NC_009576.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Alosa;Alosa pseudoharengus;NA
Alosa sapidissima	NC_014690.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Alosa;Alosa sapidissima;NA
Alphestes afer	AY313982.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Alphestes;Alphestes afer;NA
Alphestes immaculatus	AY313980.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Alphestes;Alphestes immaculatus;NA
Alphestes multiguttatus	AY313981.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Alphestes;Alphestes multiguttatus;NA
Aluterus monoceros	NC_027268.1	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Monacanthidae;Aluterus;Aluterus monoceros;NA
Aluterus schoepfii	KT600932.1	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Monacanthidae;Aluterus;Aluterus schoepfii;NA
Aluterus schoepfii	OR582707.1	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Monacanthidae;Aluterus;Aluterus schoepfii;NA
Amazonsprattus scintilla	AP009617.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Amazonsprattus;Amazonsprattus scintilla;NA
Ambloplites constellatus	OR551989.1	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Centrarchidae;Ambloplites;Ambloplites constellatus;NA
Ambloplites rupestris	NC_035659.1	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Centrarchidae;Ambloplites;Ambloplites rupestris;NA
Ambloplites rupestris	OM736897.1	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Centrarchidae;Ambloplites;Ambloplites rupestris;NA
Amblygaster sirm	AP017948.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Amblygaster;Amblygaster sirm;NA
Amblypharyngodon mola	NC_043864.1	Eukaryota;Chordata;Actinopteri;Cypriniformes;Danionidae;Amblypharyngodon;Amblypharyngodon mola;NA
Amblyraja georgiana	MF278975.1	Eukaryota;Chordata;Chondrichthyes;Rajiformes;Rajidae;Amblyraja;Amblyraja georgiana;NA
Amblyraja georgiana	MF278976.1	Eukaryota;Chordata;Chondrichthyes;Rajiformes;Rajidae;Amblyraja;Amblyraja georgiana;NA
Amblyraja hyperborea	EF100184.1	Eukaryota;Chordata;Chondrichthyes;Rajiformes;Rajidae;Amblyraja;Amblyraja hyperborea;NA
Amblyraja hyperborea	MN883843.1	Eukaryota;Chordata;Chondrichthyes;Rajiformes;Rajidae;Amblyraja;Amblyraja hyperborea;NA
Amblyraja radiata	NC_000893.1	Eukaryota;Chordata;Chondrichthyes;Rajiformes;Rajidae;Amblyraja;Amblyraja radiata;NA
Amblyraja radiata	OR812570.1	Eukaryota;Chordata;Chondrichthyes;Rajiformes;Rajidae;Amblyraja;Amblyraja radiata;NA
Amblyraja radiata	OR812669.1	Eukaryota;Chordata;Chondrichthyes;Rajiformes;Rajidae;Amblyraja;Amblyraja radiata;NA
Amblyraja radiata	OR812674.1	Eukaryota;Chordata;Chondrichthyes;Rajiformes;Rajidae;Amblyraja;Amblyraja radiata;NA
Ameiurus catus	MG570464.1	Eukaryota;Chordata;Actinopteri;Siluriformes;Ictaluridae;Ameiurus;Ameiurus catus;NA
Ameiurus catus	NC_037012.1	Eukaryota;Chordata;Actinopteri;Siluriformes;Ictaluridae;Ameiurus;Ameiurus catus;NA
Ameiurus melas	DQ421854.1	Eukaryota;Chordata;Actinopteri;Siluriformes;Ictaluridae;Ameiurus;Ameiurus melas;NA
Ameiurus melas	DQ421856.1	Eukaryota;Chordata;Actinopteri;Siluriformes;Ictaluridae;Ameiurus;Ameiurus melas;NA
Ameiurus natalis	MG570406.1	Eukaryota;Chordata;Actinopteri;Siluriformes;Ictaluridae;Ameiurus;Ameiurus natalis;NA
Ameiurus natalis	NC_036391.1	Eukaryota;Chordata;Actinopteri;Siluriformes;Ictaluridae;Ameiurus;Ameiurus natalis;NA
Ameiurus natalis	OL457413.1	Eukaryota;Chordata;Actinopteri;Siluriformes;Ictaluridae;Ameiurus;Ameiurus natalis;NA
Ameiurus nebulosus	NC_042499.1	Eukaryota;Chordata;Actinopteri;Siluriformes;Ictaluridae;Ameiurus;Ameiurus nebulosus;NA
Ameiurus nebulosus	OL806597.1	Eukaryota;Chordata;Actinopteri;Siluriformes;Ictaluridae;Ameiurus;Ameiurus nebulosus;NA
Amia calva	NC_004742.1	Eukaryota;Chordata;Actinopteri;Amiiformes;Amiidae;Amia;Amia calva;NA
Ammodytes americanus	NC_028530.1	Eukaryota;Chordata;Actinopteri;Uranoscopiformes;Ammodytidae;Ammodytes;Ammodytes americanus;NA
Ammodytes dubius	NC_028529.1	Eukaryota;Chordata;Actinopteri;Uranoscopiformes;Ammodytidae;Ammodytes;Ammodytes dubius;NA
Ammodytes hexapterus	NC_020461.1	Eukaryota;Chordata;Actinopteri;Uranoscopiformes;Ammodytidae;Ammodytes;Ammodytes hexapterus;NA
Amphilophus citrinellus	NC_023827.1	Eukaryota;Chordata;Actinopteri;Cichliformes;Cichlidae;Amphilophus;Amphilophus citrinellus;NA
Amphistichus argenteus	AY279571.1	Eukaryota;Chordata;Actinopteri;NA;Embiotocidae;Amphistichus;Amphistichus argenteus;NA
Amphistichus argenteus	JN125222.1	Eukaryota;Chordata;Actinopteri;NA;Embiotocidae;Amphistichus;Amphistichus argenteus;NA
Amphistichus koelzi	JN125223.1	Eukaryota;Chordata;Actinopteri;NA;Embiotocidae;Amphistichus;Amphistichus koelzi;NA
Amphistichus rhodoterus	JN125224.1	Eukaryota;Chordata;Actinopteri;NA;Embiotocidae;Amphistichus;Amphistichus rhodoterus;NA
Anabas testudineus	AP006832.1	Eukaryota;Chordata;Actinopteri;Anabantiformes;Anabantidae;Anabas;Anabas testudineus;NA
Anabas testudineus	KT001153.1	Eukaryota;Chordata;Actinopteri;Anabantiformes;Anabantidae;Anabas;Anabas testudineus;NA
Anabas testudineus	NC_024752.1	Eukaryota;Chordata;Actinopteri;Anabantiformes;Anabantidae;Anabas;Anabas testudineus;NA
Anampses caeruleopunctatus	AJ810124.1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Anampses;Anampses caeruleopunctatus;NA
Anampses caeruleopunctatus	AY279575.1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Anampses;Anampses caeruleopunctatus;NA
Anampses chrysocephalus	JN935299.1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Anampses;Anampses chrysocephalus;NA
Anampses cuvier	JN935301.1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Anampses;Anampses cuvier;NA
Anampses elegans	JN935304.1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Anampses;Anampses elegans;NA
Anampses geographicus	AJ810125.1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Anampses;Anampses geographicus;NA
Anampses geographicus	KY815237.1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Anampses;Anampses geographicus;NA
Anampses lennardi	JN935308.1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Anampses;Anampses lennardi;NA
Anampses lineatus	JN935309.1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Anampses;Anampses lineatus;NA
Anampses melanurus	LC654211.1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Anampses;Anampses melanurus;NA
Anampses meleagrides	DQ164139.1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Anampses;Anampses meleagrides;NA
Anampses neoguinaicus	AY279576.1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Anampses;Anampses neoguinaicus;NA
Anampses twistii	JN935316.1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Anampses;Anampses twistii;NA
Anarhichas denticulatus	KX118037.1	Eukaryota;Chordata;Actinopteri;Perciformes;Anarhichadidae;Anarhichas;Anarhichas denticulatus;NA
Anarhichas denticulatus	NC_037606.1	Eukaryota;Chordata;Actinopteri;Perciformes;Anarhichadidae;Anarhichas;Anarhichas denticulatus;NA
Anarhichas lupus	KX117981.1	Eukaryota;Chordata;Actinopteri;Perciformes;Anarhichadidae;Anarhichas;Anarhichas lupus;NA
Anarhichas lupus	NC_009773.1	Eukaryota;Chordata;Actinopteri;Perciformes;Anarhichadidae;Anarhichas;Anarhichas lupus;NA
Anarhichas minor	NC_037609.1	Eukaryota;Chordata;Actinopteri;Perciformes;Anarhichadidae;Anarhichas;Anarhichas minor;NA
Anarhichas orientalis	LC493930.1	Eukaryota;Chordata;Actinopteri;Perciformes;Anarhichadidae;Anarhichas;Anarhichas orientalis;NA
Anarhichas orientalis	LC672482.1	Eukaryota;Chordata;Actinopteri;Perciformes;Anarhichadidae;Anarhichas;Anarhichas orientalis;NA
Anarrhichthys ocellatus	NC_044782.1	Eukaryota;Chordata;Actinopteri;Perciformes;Anarhichadidae;Anarrhichthys;Anarrhichthys ocellatus;NA
Anas acuta	NC_024631.1	Eukaryota;Chordata;Aves;Anseriformes;Anatidae;Anas;Anas acuta;NA
Anas carolinensis	HM063539.1	Eukaryota;Chordata;Aves;Anseriformes;Anatidae;Anas;Anas carolinensis;NA
Anas chathamica	KF562761.1	Eukaryota;Chordata;Aves;Anseriformes;Anatidae;Anas;Anas chathamica;NA
Anas crecca	NC_022452.1	Eukaryota;Chordata;Aves;Anseriformes;Anatidae;Anas;Anas crecca;NA
Anas crecca crecca	HM063540.1	Eukaryota;Chordata;Aves;Anseriformes;Anatidae;Anas;Anas crecca;Anas crecca crecca
Anas platyrhynchos	L16770.1	Eukaryota;Chordata;Aves;Anseriformes;Anatidae;Anas;Anas platyrhynchos;NA
Anas platyrhynchos	L22478.1	Eukaryota;Chordata;Aves;Anseriformes;Anatidae;Anas;Anas platyrhynchos;NA
Anas platyrhynchos	NC_009684.1	Eukaryota;Chordata;Aves;Anseriformes;Anatidae;Anas;Anas platyrhynchos;NA
Anas platyrhynchos	OR242802.1	Eukaryota;Chordata;Aves;Anseriformes;Anatidae;Anas;Anas platyrhynchos;NA
Anas platyrhynchos	U59666.1	Eukaryota;Chordata;Aves;Anseriformes;Anatidae;Anas;Anas platyrhynchos;NA
Anas platyrhynchos platyrhynchos	OR242797.1	Eukaryota;Chordata;Aves;Anseriformes;Anatidae;Anas;Anas platyrhynchos;Anas platyrhynchos platyrhynchos
Anas poecilorhyncha	NC_022418.1	Eukaryota;Chordata;Aves;Anseriformes;Anatidae;Anas;Anas poecilorhyncha;NA
Anas zonorhyncha	MZ593724.1	Eukaryota;Chordata;Aves;Anseriformes;Anatidae;Anas;Anas zonorhyncha;NA
Anchoa cayorum	OP056849.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Anchoa;Anchoa cayorum;NA
Anchoa choerostoma	DQ912048.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Anchoa;Anchoa choerostoma;NA
Anchoa delicatissima	DQ912036.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Anchoa;Anchoa delicatissima;NA
Anchoa hepsetus	DQ912040.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Anchoa;Anchoa hepsetus;NA
Anchoa lyolepis	DQ912049.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Anchoa;Anchoa lyolepis;NA
Anchoa mitchilli	DQ912042.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Anchoa;Anchoa mitchilli;NA
Anchoa tricolor	NC_087982.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Anchoa;Anchoa tricolor;NA
Anchoviella sp. CBM-ZF-12586	AP012524.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Anchoviella;Anchoviella sp. CBM-ZF-12586;NA
Anchoviella sp. LBP 2297	AP011557.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Anchoviella;Anchoviella sp. LBP 2297;NA
Anguilla anguilla	FJ612585.1	Eukaryota;Chordata;Actinopteri;Anguilliformes;Anguillidae;Anguilla;Anguilla anguilla;NA
Anguilla anguilla	KJ564230.1	Eukaryota;Chordata;Actinopteri;Anguilliformes;Anguillidae;Anguilla;Anguilla anguilla;NA
Anguilla anguilla	KJ564240.1	Eukaryota;Chordata;Actinopteri;Anguilliformes;Anguillidae;Anguilla;Anguilla anguilla;NA
Anguilla anguilla	KJ564253.1	Eukaryota;Chordata;Actinopteri;Anguilliformes;Anguillidae;Anguilla;Anguilla anguilla;NA
Anguilla anguilla	NC_006531.1	Eukaryota;Chordata;Actinopteri;Anguilliformes;Anguillidae;Anguilla;Anguilla anguilla;NA
Anguilla australis	KY798446.1	Eukaryota;Chordata;Actinopteri;Anguilliformes;Anguillidae;Anguilla;Anguilla australis;NA
Anguilla australis australis	NC_006532.1	Eukaryota;Chordata;Actinopteri;Anguilliformes;Anguillidae;Anguilla;Anguilla australis;Anguilla australis australis
Anguilla australis schmidti	NC_006533.1	Eukaryota;Chordata;Actinopteri;Anguilliformes;Anguillidae;Anguilla;Anguilla australis;Anguilla australis schmidti
Anguilla dieffenbachii	NC_006538.1	Eukaryota;Chordata;Actinopteri;Anguilliformes;Anguillidae;Anguilla;Anguilla dieffenbachii;NA
Anguilla japonica	FJ612587.1	Eukaryota;Chordata;Actinopteri;Anguilliformes;Anguillidae;Anguilla;Anguilla japonica;NA
Anguilla japonica	KJ948424.1	Eukaryota;Chordata;Actinopteri;Anguilliformes;Anguillidae;Anguilla;Anguilla japonica;NA
Anguilla japonica	NC_002707.2	Eukaryota;Chordata;Actinopteri;Anguilliformes;Anguillidae;Anguilla;Anguilla japonica;NA
Anguilla rostrata	FJ612584.1	Eukaryota;Chordata;Actinopteri;Anguilliformes;Anguillidae;Anguilla;Anguilla rostrata;NA
Anguilla rostrata	KJ564181.1	Eukaryota;Chordata;Actinopteri;Anguilliformes;Anguillidae;Anguilla;Anguilla rostrata;NA
Anguilla rostrata	NC_006547.2	Eukaryota;Chordata;Actinopteri;Anguilliformes;Anguillidae;Anguilla;Anguilla rostrata;NA
Anisotremus surinamensis	NC_087983.1	Eukaryota;Chordata;Actinopteri;Lutjaniformes;Haemulidae;Anisotremus;Anisotremus surinamensis;NA
Anisotremus virginicus	OP057108.2	Eukaryota;Chordata;Actinopteri;Lutjaniformes;Haemulidae;Anisotremus;Anisotremus virginicus;NA
Anodontostoma chacunda	AP011614.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Anodontostoma;Anodontostoma chacunda;NA
Anoplopoma fimbria	NC_018119.1	Eukaryota;Chordata;Actinopteri;Perciformes;Anoplopomatidae;Anoplopoma;Anoplopoma fimbria;NA
Anser anser	NC_011196.1	Eukaryota;Chordata;Aves;Anseriformes;Anatidae;Anser;Anser anser;NA
Anthias anthias	AY949446.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Anthias;Anthias anthias;NA
Anthias nicholsi	OP056908.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Anthias;Anthias nicholsi;NA
Anthias woodsi	NC_083044.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Anthias;Anthias woodsi;NA
Anthias woodsi	OP035066.2	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Anthias;Anthias woodsi;NA
Antigonia capros	NC_003191.1	Eukaryota;Chordata;Actinopteri;Caproiformes;Caproidae;Antigonia;Antigonia capros;NA
Antigonia combatia	NC_082569.1	Eukaryota;Chordata;Actinopteri;Caproiformes;Caproidae;Antigonia;Antigonia combatia;NA
