taxon	Feature ID	Taxon
Crenimugil buchanani	KF374966.1	Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae;Crenimugil;Crenimugil buchanani;NA
Crenimugil crenilabis	NC_017884.1	Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae;Crenimugil;Crenimugil crenilabis;NA
Crenimugil seheli	KF374964.1	Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae;Crenimugil;Crenimugil seheli;NA
Crenimugil seheli	KF374965.1	Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae;Crenimugil;Crenimugil seheli;NA
Crenimugil seheli	KF374993.1	Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae;Crenimugil;Crenimugil seheli;NA
Cromileptes altivelis	KC593375.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Cromileptes;Cromileptes altivelis;NA
Cromileptes altivelis	KC845547.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Cromileptes;Cromileptes altivelis;NA
Cromileptes altivelis x Epinephelus lanceolatus	NC_034675.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;NA;Cromileptes altivelis x Epinephelus lanceolatus;NA
Cromileptes altivelis x Epinephelus tukula	MN396750.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;NA;Cromileptes altivelis x Epinephelus tukula;NA
Cruriraja rugosa	OP056875.1	Eukaryota;Chordata;Chondrichthyes;Rajiformes;Rajidae;Cruriraja;Cruriraja rugosa;NA
Cryptotomus roseus	AY279592.1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Cryptotomus;Cryptotomus roseus;NA
Ctenochaetus hawaiiensis	LC579326.2	Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Ctenochaetus;Ctenochaetus hawaiiensis;NA
Ctenochaetus strigosus	OP035160.1	Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Ctenochaetus;Ctenochaetus strigosus;NA
Ctenolabrus rupestris	AF414202.1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Ctenolabrus;Ctenolabrus rupestris;NA
Ctenopharyngodon idella	NC_010288.1	Eukaryota;Chordata;Actinopteri;Cypriniformes;Xenocyprididae;Ctenopharyngodon;Ctenopharyngodon idella;NA
Ctenopharyngodon idella x Megalobrama amblycephala	NC_018134.1	Eukaryota;Chordata;Actinopteri;Cypriniformes;NA;NA;Ctenopharyngodon idella x Megalobrama amblycephala;NA
Ctenopharyngodon idella x Squaliobarbus curriculus	NC_020466.1	Eukaryota;Chordata;Actinopteri;Cypriniformes;NA;NA;Ctenopharyngodon idella x Squaliobarbus curriculus;NA
Ctenopharyngodon idellus x Elopichthys bambusa	NC_025590.1	Eukaryota;Chordata;Actinopteri;Cypriniformes;NA;NA;Ctenopharyngodon idellus x Elopichthys bambusa;NA
Cuniculus paca	AF433905.1	Eukaryota;Chordata;Mammalia;Rodentia;Cuniculidae;Cuniculus;Cuniculus paca;NA
Cuniculus paca	AF433906.1	Eukaryota;Chordata;Mammalia;Rodentia;Cuniculidae;Cuniculus;Cuniculus paca;NA
Cuniculus paca	AF520693.1	Eukaryota;Chordata;Mammalia;Rodentia;Cuniculidae;Cuniculus;Cuniculus paca;NA
Cuniculus paca	AY093664.1	Eukaryota;Chordata;Mammalia;Rodentia;Cuniculidae;Cuniculus;Cuniculus paca;NA
Cybister brevis	MZ504983.1	Eukaryota;Arthropoda;Insecta;Coleoptera;Dytiscidae;Cybister;Cybister brevis;NA
Cycleptus elongatus	NC_008645.1	Eukaryota;Chordata;Actinopteri;Cypriniformes;Catostomidae;Cycleptus;Cycleptus elongatus;NA
Cyclopterus lumpus	KM057954.1	Eukaryota;Chordata;Actinopteri;Perciformes;Cyclopteridae;Cyclopterus;Cyclopterus lumpus;NA
Cymatogaster aggregata	NC_009059.1	Eukaryota;Chordata;Actinopteri;NA;Embiotocidae;Cymatogaster;Cymatogaster aggregata;NA
Cymolutes praetextatus	AY279593.1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Cymolutes;Cymolutes praetextatus;NA
Cymolutes torquatus	AY279594.1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Cymolutes;Cymolutes torquatus;NA
Cynoscion arenarius	AF128401.1	Eukaryota;Chordata;Actinopteri;NA;Sciaenidae;Cynoscion;Cynoscion arenarius;NA
Cynoscion arenarius	OP057008.1	Eukaryota;Chordata;Actinopteri;NA;Sciaenidae;Cynoscion;Cynoscion arenarius;NA
