taxon	Feature ID	Taxon
Sphagneticola calendulacea	NC_039346.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Sphagneticola;Sphagneticola calendulacea;NA;NA;NA
Spinacia oleracea	NC_002202.1	Eukaryota;Streptophyta;Magnoliopsida;Caryophyllales;Chenopodiaceae;Spinacia;Spinacia oleracea;NA;NA;NA
Spinacia tetrandra	AB935658.1	Eukaryota;Streptophyta;Magnoliopsida;Caryophyllales;Chenopodiaceae;Spinacia;Spinacia tetrandra;NA;NA;NA
Spinacia tetrandra	AB935659.1	Eukaryota;Streptophyta;Magnoliopsida;Caryophyllales;Chenopodiaceae;Spinacia;Spinacia tetrandra;NA;NA;NA
Spondias dulcis	MG584503.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Anacardiaceae;Spondias;Spondias dulcis;NA;NA;NA
Spondias dulcis	NC_059000.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Anacardiaceae;Spondias;Spondias dulcis;NA;NA;NA
Spondias mombin	KR081831.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Anacardiaceae;Spondias;Spondias mombin;NA;NA;NA
Spondias mombin	MG584504.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Anacardiaceae;Spondias;Spondias mombin;NA;NA;NA
Spondias mombin	NC_035973.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Anacardiaceae;Spondias;Spondias mombin;NA;NA;NA
Spondias pinnata	KP055576.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Anacardiaceae;Spondias;Spondias pinnata;NA;NA;NA
Spondias pinnata	KR081861.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Anacardiaceae;Spondias;Spondias pinnata;NA;NA;NA
Spondias pinnata	KR081863.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Anacardiaceae;Spondias;Spondias pinnata;NA;NA;NA
Spondias purpurea	KR081864.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Anacardiaceae;Spondias;Spondias purpurea;NA;NA;NA
Spondias purpurea	MG584506.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Anacardiaceae;Spondias;Spondias purpurea;NA;NA;NA
Stachys affinis	NC_062803.1	Eukaryota;Streptophyta;Magnoliopsida;Lamiales;Lamiaceae;Stachys;Stachys affinis;NA;NA;NA
Stelechocarpus burahol	AY319167.1	Eukaryota;Streptophyta;Magnoliopsida;Magnoliales;Annonaceae;Stelechocarpus;Stelechocarpus burahol;NA;NA;NA
Stenocereus griseus	DQ099975.1	Eukaryota;Streptophyta;Magnoliopsida;Caryophyllales;Cactaceae;Stenocereus;Stenocereus griseus;NA;NA;NA
Stenocereus pruinosus	DQ099980.1	Eukaryota;Streptophyta;Magnoliopsida;Caryophyllales;Cactaceae;Stenocereus;Stenocereus pruinosus;NA;NA;NA
Stenocereus pruinosus	HM041359.1	Eukaryota;Streptophyta;Magnoliopsida;Caryophyllales;Cactaceae;Stenocereus;Stenocereus pruinosus;NA;NA;NA
Stenocereus pruinosus	KF783688.1	Eukaryota;Streptophyta;Magnoliopsida;Caryophyllales;Cactaceae;Stenocereus;Stenocereus pruinosus;NA;NA;NA
Stenocereus queretaroensis	DQ099981.1	Eukaryota;Streptophyta;Magnoliopsida;Caryophyllales;Cactaceae;Stenocereus;Stenocereus queretaroensis;NA;NA;NA
Stenocereus stellatus	AY181640.2	Eukaryota;Streptophyta;Magnoliopsida;Caryophyllales;Cactaceae;Stenocereus;Stenocereus stellatus;NA;NA;NA
Stenocereus stellatus	HM041360.1	Eukaryota;Streptophyta;Magnoliopsida;Caryophyllales;Cactaceae;Stenocereus;Stenocereus stellatus;NA;NA;NA
Sterculia foetida	JN676076.1	Eukaryota;Streptophyta;Magnoliopsida;Malvales;Malvaceae;Sterculia;Sterculia foetida;NA;NA;NA
Sterculia monosperma	NC_053571.1	Eukaryota;Streptophyta;Magnoliopsida;Malvales;Malvaceae;Sterculia;Sterculia monosperma;NA;NA;NA
Stevia rebaudiana	NC_066036.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Stevia;Stevia rebaudiana;NA;NA;NA
Styphnolobium japonicum	NC_047059.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Styphnolobium;Styphnolobium japonicum;NA;NA;NA
Styphnolobium japonicum f. pendulum	ON996907.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Styphnolobium;Styphnolobium japonicum;NA;NA;Styphnolobium japonicum f. pendulum
